Key,Source,Context,Changes,English
gun556rifleSchematic,items,Book,New,Sporting Rifle Schematic
gun556rifleSchematicDesc,items,Book,New,Reading this will teach you how to craft a Sporting Rifle.
gun9mmrifleSchematic,items,Book,New,Varmint Rifle Schematic
gun9mmrifleSchematicDesc,items,Book,New,Reading this will teach you how to craft a Varmint Rifle.
gunsvdSchematic,items,Book,New,SVD Schematic
gunsvdSchematicDesc,items,Book,New,Reading this will teach you how to craft an SVD.
gunscarhSchematic,items,Book,New,SCAR-H Schematic
gunscarhSchematicDesc,items,Book,New,Reading this will teach you how to craft a SCAR-H.
gunaks74uSchematic,items,Book,New,AKS-74u Schematic
gunaks74uSchematicDesc,items,Book,New,Reading this will teach you how to craft an AKS-74u.
gunskorpionSchematic,items,Book,New,Skorpion Schematic
gunskorpionSchematicDesc,items,Book,New,Reading this will teach you how to craft a Skorpion.
gunmicrouziSchematic,items,Book,New,Micro Uzi Schematic
gunmicrouziSchematicDesc,items,Book,New,Reading this will teach you how to craft a Micro Uzi.
gunmac11Schematic,items,Book,New,Mac-11 Schematic
gunmac11SchematicDesc,items,Book,New,Reading this will teach you how to craft a Mac-11.
gunump45Schematic,items,Book,New,UMP-45 Schematic
gunump45SchematicDesc,items,Book,New,Reading this will teach you how to craft a UMP-45.
gunpp19Schematic,items,Book,New,PP-19 Schematic
gunpp19SchematicDesc,items,Book,New,Reading this will teach you how to craft a PP-19.
gunscarlSchematic,items,Book,New,PP-19 Schematic
gunscarlSchematicDesc,items,Book,New,Reading this will teach you how to craft a SCAR-L.
gunsg553Schematic,items,Book,New,PP-19 Schematic
gunsg553SchematicDesc,items,Book,New,Reading this will teach you how to craft a SG-553.
ammo45BulletBall,items,Ammo,New,.45 Ammo
ammo45BulletAP,items,Ammo,New,AP .45 Ammo
ammo45BulletHP,items,Ammo,New,HP .45 Ammo
ammoBundle45BulletBall,items,Ammo,New,Box of .45 Ammo (75)
ammoBundle45BulletAP,items,Ammo,New,Box of .45 AP Ammo (75)
ammoBundle45BulletHP,items,Ammo,New,Box of .45 HP Ammo (75)
ammo556mmBulletBall,items,Ammo,New,5.56mm Ammo
ammo556mmBulletAP,items,Ammo,New,5.56mm AP Ammo
ammo556mmBulletHP,items,Ammo,New,5.56mm HP Ammo
ammoBundle556mmBulletBall,items,Ammo,New,Box of 5.56mm Ammo (120)
ammoBundle556mmBulletAP,items,Ammo,New,Box of 5.56mm AP Ammo (120)
ammoBundle556mmBulletHP,items,Ammo,New,Box of 5.56mm HP Ammo (120)
